기업명,종목코드,corp_code,연도,기업상태,selected_fs_div,has_data,raw_row_count,status_values,status_conflict,missing_feature_count,all_feature_null,too_many_missing_features,event_year_Y,event_date,event_source,y_minus_1_excluded,is_positive_candidate,is_excluded_y_minus_1,is_excluded_event_or_after,target_future_delist,include_for_training,exclude_reason,source_file
위너지스,026260,00207223,2017,상폐기업,CFS,True,1,상폐기업,False,3,False,False,2018,2018-10-11,폐지사유: 감사의견거절(감사범위 제한),True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\위너지스\2017\026260__위너지스__2017__11011.json
미래SCI,028040,00111865,2020,상폐기업,,False,1,상폐기업,False,30,True,True,2021,2021-04-13,"폐지사유: 최근 2년간 3회 이상 공시규정 제19조제1항의 규정에 의한 사업보고서, 반기보고서 또는 분기보고서 법정제출기한 내 미제출",True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\미래SCI\2020\028040__미래SCI__2020__11011.json
에스마크,030270,00100258,2019,상폐기업,CFS,True,1,상폐기업,False,6,False,False,2020,2020-05-21,폐지사유: 감사의견거절(감사범위제한 및 계속기업 존속 불확실),True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\에스마크\2019\030270__에스마크__2019__11011.json
비케이탑스,030790,00273615,2023,상폐기업,,False,1,상폐기업,False,30,True,True,2024,2024-05-13,폐지사유: 감사의견 의견거절 2년 계속,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\비케이탑스\2023\030790__비케이탑스__2023__11011.json
씨앤에스자산관리,032040,00173731,2017,상폐기업,CFS,True,1,상폐기업,False,5,False,False,2018,2018-10-11,폐지사유: 감사의견거절(범위제한 및 계속기업 존속능력에 대한 불확실성),True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\씨앤에스자산관리\2017\032040__씨앤에스자산관리__2017__11011.json
코너스톤네트웍스,033110,00194275,2020,상폐기업,CFS,True,1,상폐기업,False,1,False,False,2021,2021-10-08,폐지사유: 감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\코너스톤네트웍스\2020\033110__코너스톤네트웍스__2020__11011.json
디에스티,033430,00244419,2020,상폐기업,CFS,True,1,상폐기업,False,3,False,False,2021,2021-09-02,폐지사유: 감사의견 한정(감사범위 제한),True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\디에스티\2020\033430__디에스티__2020__11011.json
럭슬,033600,00264787,2020,상폐기업,,False,1,상폐기업,False,30,True,True,2021,2021-08-11,폐지사유: 감사의견 거절(감사범위 제한),True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\럭슬\2020\033600__럭슬__2020__11011.json
글로앤웰,035480,00255141,2018,상폐기업,OFS,True,1,상폐기업,False,5,False,False,2019,2019-12-12,폐지사유: 기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\글로앤웰\2018\035480__글로앤웰__2018__11011.json
오상헬스케어,036220,00260657,2015,상장기업,CFS,True,2,상장기업|상폐기업,True,3,False,False,2016,2016-05-09,폐지사유: 감사의견 거절(감사범위 제한으로 인한 의견거절),True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상장기업\오상헬스케어\2015\036220__오상헬스케어__2015__11011.json
