threshold,recall,precision,f1,roc_auc,pr_auc,tn,fp,fn,tp,positive_support,negative_support,split,threshold_type
0.5,0.5625,0.023376623376623377,0.04488778054862843,0.7828844434510506,0.2205403680723563,1861,376,7,9,16,2237,test,default_0.5
0.99,0.1875,0.375,0.25,0.7828844434510506,0.2205403680723563,2232,5,13,3,16,2237,test,selected
0.5,0.6,0.0182370820668693,0.035398230088495575,0.6527045769764216,0.1833815238072866,1840,323,4,6,10,2163,valid,default_0.5
0.99,0.3,0.375,0.3333333333333333,0.6527045769764216,0.1833815238072866,2158,5,7,3,10,2163,valid,selected
