split,threshold_type,threshold,recall,precision,f1,roc_auc,pr_auc,tn,fp,fn,tp,positive_support,negative_support
valid,selected,0.95,0.38461538461538464,0.30303030303030304,0.3389830508474576,0.7136811408656069,0.2066317737672386,2140,23,16,10,26,2163
test,selected,0.95,0.32,0.2962962962962963,0.3076923076923077,0.8634242288779616,0.3086942646525335,2218,19,17,8,25,2237
