experiment,positive_offsets,excluded_offsets,selected_threshold,usable_rows,positive_rows,train_positive_rows,valid_positive_rows,test_positive_rows,valid_precision,valid_recall,valid_f1,test_precision,test_recall,test_f1,test_tp,test_fp,test_fn,test_tn,excluded_window_rows,excluded_event_or_after_rows,positive_offset_breakdown
baseline_y2_only,[2],[1],0.99,22802,126,100,10,16,0.375,0.3,0.3333333333333333,0.375,0.1875,0.25,3,5,13,2232,262,221,{'2': 126}
experiment_y1_y2,"[1, 2]",[],0.95,22912,236,170,26,25,0.30303030303030304,0.38461538461538464,0.3389830508474576,0.2962962962962963,0.32,0.3076923076923077,8,19,17,2218,0,221,"{'1': 110, '2': 126}"
