종목코드,corp_code,기업명,event_year_Y,event_date,event_source,y_minus_1_excluded
081500,00535773,엑스씨이,2017,20170630,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
085680,00540021,모빌탑,2017,20170630,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
290510,00540340,코리아센터,2022,20221216,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
091690,00543231,디지텍시스템스,2017,20170630,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
085370,00549925,루트로닉,2024,20240328,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
091990,00554024,셀트리온헬스케어,2024,20240112,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
097520,00564562,엠씨넥스,2023,20230227,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
123100,00569992,원익테라세미콘,2019,20190220,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
105070,00579379,금강제강,2017,20170630,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
081970,00584362,케이엑스넥스지,2023,20230403,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
119860,00585608,커넥트웨이브,2026,20260325,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
108790,00598587,인터파크,2020,20200716,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
099660,00599887,신텍,2020,20200720,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
197210,00601641,리드,2020,20201126,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
111610,00609254,세왕,2019,20190329,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
096640,00609315,멜파스,2025,20250730,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
148140,00610490,비디아이,2024,20240607,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
114120,00618401,크루셜텍,2024,20240215,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
126870,00638539,앤에스,2025,20250410,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
151910,00653103,퓨처코어,2025,20251126,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
174880,00659684,장원테크,2026,20260114,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
150840,00661157,인트로메딕,2026,20260304,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
138690,00670085,엘아이에스,2023,20231206,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
123260,00671437,파인넥스,2020,20200410,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
114570,00673976,지스마트글로벌,2022,20221117,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
155960,00676122,지디,2026,20260320,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
141070,00678096,맥스로텍,2022,20221202,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
298870,00682992,우리벤처파트너스,2025,20250227,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
950030,00687599,네프로아이티,2017,20170630,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
111820,00689418,지유온,2024,20240318,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
