threshold,recall,precision,f1,roc_auc,pr_auc,tn,fp,fn,tp,positive_support,negative_support,split
0.1,0.0,0.0,0.0,0.3793584379358438,0.002521051506036544,1622,529,6,0,6,2151,valid
0.2,0.0,0.0,0.0,0.3793584379358438,0.002521051506036544,1812,339,6,0,6,2151,valid
0.3,0.0,0.0,0.0,0.3793584379358438,0.002521051506036544,1903,248,6,0,6,2151,valid
0.4,0.0,0.0,0.0,0.3793584379358438,0.002521051506036544,1955,196,6,0,6,2151,valid
0.5,0.0,0.0,0.0,0.3793584379358438,0.002521051506036544,1990,161,6,0,6,2151,valid
0.6,0.0,0.0,0.0,0.3793584379358438,0.002521051506036544,2014,137,6,0,6,2151,valid
