threshold,recall,precision,f1,roc_auc,pr_auc,tn,fp,fn,tp,positive_support,negative_support,split,threshold_type
0.5,0.5,0.0041841004184100415,0.008298755186721992,0.4808206958073149,0.0031402147018916114,2004,238,1,1,2,2242,test,default_0.5
0.1,0.5,0.0012836970474967907,0.002560819462227913,0.4808206958073149,0.0031402147018916114,1464,778,1,1,2,2242,test,selected
0.5,0.0,0.0,0.0,0.3793584379358438,0.002521051506036544,1990,161,6,0,6,2151,valid,default_0.5
0.1,0.0,0.0,0.0,0.3793584379358438,0.002521051506036544,1622,529,6,0,6,2151,valid,selected
