기업명,종목코드,corp_code,연도,기업상태,selected_fs_div,has_data,raw_row_count,status_values,status_conflict,all_feature_null,event_year_Y,event_date,event_source,y_minus_1_excluded,is_positive_candidate,is_excluded_y_minus_1,is_excluded_event_or_after,target_future_delist,include_for_training,exclude_reason,source_file
씨앤에스자산관리,032040,00173731,2021,상폐기업,CFS,True,1,상폐기업,False,False,2022,20220225,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\씨앤에스자산관리\2021\032040__씨앤에스자산관리__2021__11011.json
케이디지엠텍,032290,00183215,2021,상폐기업,,False,1,상폐기업,False,True,2022,20220228,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\케이디지엠텍\2021\032290__케이디지엠텍__2021__11011.json
핸디소프트,032380,00231521,2016,상폐기업,,False,1,상폐기업,False,True,2017,20170630,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\핸디소프트\2016\032380__핸디소프트__2016__11011.json
터보테크,032420,00229818,2016,상폐기업,,False,1,상폐기업,False,True,2017,20170630,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\터보테크\2016\032420__터보테크__2016__11011.json
애드모바일,032600,00231567,2016,상폐기업,,False,1,상폐기업,False,True,2017,20170630,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\애드모바일\2016\032600__애드모바일__2016__11011.json
코너스톤네트웍스,033110,00194275,2021,상폐기업,,False,1,상폐기업,False,True,2022,20220211,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\코너스톤네트웍스\2021\033110__코너스톤네트웍스__2021__11011.json
쌈지,033260,00225140,2016,상폐기업,,False,1,상폐기업,False,True,2017,20170630,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\쌈지\2016\033260__쌈지__2016__11011.json
어울림엘시스,033280,00206127,2016,상폐기업,,False,1,상폐기업,False,True,2017,20170630,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\어울림엘시스\2016\033280__어울림엘시스__2016__11011.json
디에스티,033430,00244419,2022,상폐기업,CFS,True,1,상폐기업,False,False,2023,20230512,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\디에스티\2022\033430__디에스티__2022__11011.json
럭슬,033600,00264787,2021,상폐기업,,False,1,상폐기업,False,True,2022,20220427,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\럭슬\2021\033600__럭슬__2021__11011.json
에스케이브로드밴드,033630,00243988,2025,상폐기업,,False,1,상폐기업,False,True,2026,20260130,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\에스케이브로드밴드\2025\033630__에스케이브로드밴드__2025__11011.json
블루스톤디앤아이,033720,00257194,2016,상폐기업,,False,1,상폐기업,False,True,2017,20170630,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\블루스톤디앤아이\2016\033720__블루스톤디앤아이__2016__11011.json
지노시스템,033850,00244589,2016,상폐기업,,False,1,상폐기업,False,True,2017,20170630,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\지노시스템\2016\033850__지노시스템__2016__11011.json
룩소네이트,033880,00244862,2016,상폐기업,,False,1,상폐기업,False,True,2017,20170630,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\룩소네이트\2016\033880__룩소네이트__2016__11011.json
파라다이스,034230,00171265,2024,상장기업,CFS,True,2,상장기업|상폐기업,True,False,2025,20251031,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상장기업\파라다이스\2024\034230__파라다이스__2024__11011.json
