recall,precision,f1,roc_auc,pr_auc,tn,fp,fn,tp,positive_support,negative_support,model,fold,train_rows,valid_rows
0.34798534798534797,0.014450867052023121,0.027749379290200087,0.487879365885702,0.017036775329812886,15932,6479,178,95,273,22411,logistic,overall,22684,22684
0.014652014652014652,0.022988505747126436,0.017897091722595078,0.5262666178287971,0.015509135130984359,22241,170,269,4,273,22411,xgboost,overall,22684,22684
0.0,0.0,0.0,0.6172506861900463,0.023744800551997486,22411,0,273,0,273,22411,random_forest,overall,22684,22684
