recall,precision,f1,roc_auc,pr_auc,tn,fp,fn,tp,positive_support,negative_support,model,fold,train_rows,valid_rows
0.3924050632911392,0.022447501810282405,0.04246575342465753,0.4811724915445321,0.019160133388950392,3085,1350,48,31,79,4435,logistic,1,18170,4514
0.2753623188405797,0.016129032258064516,0.030473135525260625,0.5091031801389858,0.031228340034172276,3329,1159,50,19,69,4488,logistic,2,18127,4557
0.2153846153846154,0.0109717868338558,0.020879940343027592,0.44309806797060175,0.042508968508582344,3249,1262,51,14,65,4511,logistic,3,18108,4576
0.38235294117647056,0.008904109589041096,0.01740294511378849,0.45170188335598993,0.015245936806245624,3010,1447,21,13,34,4457,logistic,4,18193,4491
0.6923076923076923,0.014073494917904612,0.027586206896551724,0.6819860449285228,0.017249950805961988,3259,1261,8,18,26,4520,logistic,5,18138,4546
0.0,0.0,0.0,0.6194996646354516,0.02814556692438077,4435,0,79,0,79,4435,random_forest,1,18170,4514
0.0,0.0,0.0,0.5807434963445193,0.02407153591323913,4488,0,69,0,69,4488,random_forest,2,18127,4557
0.0,0.0,0.0,0.5758624217724195,0.022547096550764076,4511,0,65,0,65,4511,random_forest,3,18108,4576
0.0,0.0,0.0,0.7551670208132614,0.06154757856535469,4457,0,34,0,34,4457,random_forest,4,18193,4491
0.0,0.0,0.0,0.7755445881552075,0.03249161756840119,4520,0,26,0,26,4520,random_forest,5,18138,4546
0.0,0.0,0.0,0.4897521156508212,0.018976230620209294,4417,18,79,0,79,4435,xgboost,1,18170,4514
0.028985507246376812,0.09090909090909091,0.04395604395604396,0.5698674726807719,0.02365648408791154,4468,20,67,2,69,4488,xgboost,2,18127,4557
0.015384615384615385,0.04,0.022222222222222223,0.5072216632846206,0.022819583031915253,4487,24,64,1,65,4511,xgboost,3,18108,4576
0.029411764705882353,0.02,0.023809523809523808,0.6418852037112803,0.018063377116640068,4408,49,33,1,34,4457,xgboost,4,18193,4491
0.0,0.0,0.0,0.6494639210347175,0.013230504282770238,4461,59,26,0,26,4520,xgboost,5,18138,4546
