split,threshold_type,threshold,recall,precision,f1,roc_auc,pr_auc,tn,fp,fn,tp,positive_support,negative_support
valid,selected,0.99,0.3,0.375,0.3333333333333333,0.6527045769764216,0.1833815238072866,2158,5,7,3,10,2163
test,selected,0.99,0.1875,0.375,0.25,0.7828844434510506,0.2205403680723563,2232,5,13,3,16,2237
