기업명,종목코드,상폐일,폐지사유,event_year_Y,exclude_rule
베트남개발1,096300,2023-02-02,해산 사유 발생,2023,
유네코,064510,2023-01-17,감사의견 거절(감사범위 제한 및 계속기업 존속능력 불확실성),2023,
오션스톤,329020,2022-12-27,지정자문인 선임계약 해지 후 30일 이내 미체결(2022.12.13 限),2022,
이베스트스팩5호,349720,2022-12-26,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소,2022,
참존글로벌,158310,2022-11-09,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,2022,
레드로버,060300,2022-11-04,기업의 계속성 및 경영의 투명성 등을 종합적을 고려하여 상장폐지기준에 해당한다고 결정,2022,
케이프이에스제4호,347140,2022-10-31,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소,2022,
뉴로스,126870,2022-10-26,감사의견 거절(감사범위 제한 및 계속기업 존속능력 불확실성),2022,
SK6호스팩,340350,2022-10-18,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소,2022,
연이비앤티,090740,2022-10-17,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,2022,
테라셈,182690,2022-10-17,감사의견 거절(감사범위 제한),2022,
한일네트웍스,046110,2022-10-05,상장폐지 신청('22.08.31),2022,
하나금융14호스팩,332710,2022-09-26,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동사유 미해소,2022,
매직마이크로,127160,2022-09-22,감사의견 거절(감사범위 제한 및 계속기업 존속능력 불확실성),2022,
소리바다,053110,2022-09-07,감사의견 거절(감사범위 제한),2022,
하이제5호스팩,340120,2022-07-28,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동사유 미해소,2022,
롯데푸드,002270,2022-07-20,해산 사유 발생,2022,
에이치엔티,176440,2022-06-27,기업의 계속성 및 경영의 투명성 등을 종합적을 고려하여 상장폐지기준에 해당한다고 결정,2022,
티티씨디펜스,309900,2022-06-16,외부감사인의 감사의견 의견거절,2022,
맘스터치,220630,2022-05-31,상장폐지 신청('22.03.30),2022,
에스에이치엔엘,050320,2022-05-31,감사의견 거절,2022,
세영디앤씨,052190,2022-05-27,감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),2022,
SNK,950180,2022-05-18,상장폐지 신청('22.04.14),2022,
인터코스,240340,2022-05-17,외부감사인의 감사의견 의견거절,2022,
케이비제19호스팩,330990,2022-05-09,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동사유 미해소,2022,
미애부,225850,2022-04-27,감사의견 의견거절(감사범위제한 및 계속기업 존속불확실성),2022,
엠앤씨생명과학,225860,2022-04-27,감사의견 의견거절(감사범위제한 및 계속기업 존속불확실성),2022,
현진소재,053660,2022-04-26,감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),2022,
스포츠서울,039670,2022-04-20,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,2022,
이십일스토어,270020,2022-04-14,사업보고서 법정제출기한('22.3.31限) 내 미제출,2022,
하이골드3호,153360,2022-04-11,감사의견 부적정,2022,
한프,066110,2022-04-06,감사의견 거절(감사범위 제한),2022,
상상인이안제2호스팩,329560,2022-04-04,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동사유 미해소,2022,
케어룸의료산업,327970,2022-03-11,상장폐지 신청,2022,
지스마트글로벌,114570,2022-02-23,감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),2022,
폴루스바이오팜,007630,2022-02-22,감사의견 의견거절 2년 계속,2022,
이베스트이안스팩1호,323210,2022-02-17,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동사유 미해소,2022,
케이비제18호스팩,323940,2022-02-04,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동사유 미해소,2022,
SBS미디어홀딩스,101060,2022-01-18,해산 사유 발생,2022,
자안바이오,221610,2022-01-05,발행한 어음 또는 수표가 주거래은행에 의하여 최종부도로 결정되거나 거래은행에 의한 거래정지,2022,
하이골드12호,172580,2022-01-03,신청에 의한 상장폐지,2022,
GV,045890,2021-12-20,해산사유 발생(파산선고),2021,
유안타제4호스팩,313750,2021-12-07,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동사유 미해소,2021,
한화에스비아이스팩,317320,2021-12-07,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소,2021,
