threshold,recall,precision,f1,roc_auc,pr_auc,tn,fp,fn,tp,positive_support,negative_support,split,threshold_type
0.5,0.5294117647058824,0.025936599423631124,0.04945054945054945,0.8360015721210533,0.22682903916606512,1907,338,8,9,17,2245,test,default_0.5
0.97,0.23529411764705882,0.2222222222222222,0.22857142857142856,0.8360015721210533,0.22682903916606512,2231,14,13,4,17,2245,test,selected
0.5,0.75,0.03180212014134275,0.061016949152542375,0.8808920620297865,0.19516227654294638,1897,274,3,9,12,2171,valid,default_0.5
0.97,0.3333333333333333,0.2857142857142857,0.3076923076923077,0.8808920620297865,0.19516227654294638,2161,10,8,4,12,2171,valid,selected
