종목코드,corp_code,기업명,event_year_Y,event_date,event_source,y_minus_1_excluded
082250,00000000,아시아6호,2015,2015-03-13,폐지사유: 신청에 의한 상장폐지,True
082260,00000000,아시아7호,2015,2015-03-13,폐지사유: 신청에 의한 상장폐지,True
082390,00000000,피엘에이,2016,2016-07-25,폐지사유: 기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,True
083350,00000000,동북아10호선박투자,2017,2017-06-14,폐지사유: 신청에 의한 상장폐지,True
083360,00000000,동북아11호선박투자,2017,2017-06-14,폐지사유: 신청에 의한 상장폐지,True
083370,00000000,동북아12호선박투자,2020,2020-06-23,폐지사유: 존속기간 만료,True
083380,00000000,동북아13호선박투자,2020,2020-05-04,폐지사유: 존속기간 만료,True
083390,00000000,동북아14호선박투자,2017,2017-06-14,폐지사유: 신청에 의한 상장폐지,True
083570,00000000,아시아10호,2017,2017-06-15,폐지사유: 신청에 의한 상장폐지,True
083580,00000000,아시아퍼시픽11호,2017,2017-06-15,폐지사유: 신청에 의한 상장폐지,True
083590,00000000,아시아퍼시픽12호,2017,2017-06-15,폐지사유: 신청에 의한 상장폐지,True
083600,00000000,아시아퍼시픽13호,2017,2017-06-15,폐지사유: 신청에 의한 상장폐지,True
083610,00000000,아시아퍼시픽14호,2017,2017-06-20,폐지사유: 신청에 의한 상장폐지,True
083620,00000000,아시아퍼시픽15호,2017,2017-07-31,폐지사유: 존속기간 만료,True
086200,00000000,제이앤유글로벌,2016,2016-05-09,폐지사유: 감사의견거절(감사범위 제한),True
086250,00000000,화신테크,2021,2021-08-31,폐지사유: 감사의견 거절(감사범위 제한),True
086830,00000000,신양오라컴,2017,2017-05-08,폐지사유: 감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),True
087220,00000000,스틸플라워,2018,2018-05-08,폐지사유: 감사의견거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),True
087730,00000000,이엠네트웍스,2021,2021-10-08,폐지사유: 기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,True
089530,00000000,에이티세미콘,2024,2024-09-06,폐지사유: 기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정,True
090120,00000000,잘만테크,2015,2015-05-13,폐지사유: 감사의견 거절(계속기업 존속능력에 대한 불확실성 및 감사범위 제한),True
090540,00000000,코크렙8호,2015,2015-01-16,폐지사유: 해산 사유 발생,True
090740,00000000,연이비앤티,2022,2022-10-17,폐지사유: 기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,True
090970,00000000,코리아01호,2017,2017-04-25,폐지사유: 감사의견 의견거절,True
090980,00000000,코리아02호,2017,2017-04-25,폐지사유: 감사의견 의견거절,True
090990,00000000,코리아03호,2017,2017-04-25,폐지사유: 감사의견 의견거절,True
091000,00000000,코리아04호,2017,2017-04-25,폐지사유: 감사의견 의견거절,True
091270,00000000,유디피,2018,2018-04-18,폐지사유: 지정자문인 선임계약 해지 후 30일이내 미체결(2018.04.04限),True
091690,00000000,디지텍시스템,2015,2015-01-21,폐지사유: 감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),True
092630,00000000,바다로3호,2016,2016-06-13,폐지사유: 신청에 의한 상장폐지,True
094190,00000000,이엘케이,2020,2020-05-22,폐지사유: 감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),True
095300,00000000,엔에스브이,2017,2017-09-12,"폐지사유: 감사의견 거절(내부회계관리제도상의 취약점, 계속기업가정의 불확실성 및 재고자산 관련 감사범위 제한)",True
096300,00000000,베트남개발1,2023,2023-02-02,폐지사유: 해산 사유 발생,True
096640,00000000,멜파스,2023,2023-07-17,폐지사유: 기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,True
099340,00000000,하나니켈1호,2020,2020-07-01,폐지사유: 존속기간 만료,True
099350,00000000,하나니켈2호,2020,2020-07-01,폐지사유: 존속기간 만료,True
099660,00000000,신텍,2018,2018-07-09,폐지사유: 발행한 어음 또는 수표가 주거래은행에 의하여 최종부도로 결정되거나 거래은행에 의한 거래정지,True
099830,00000000,씨그널엔터테인먼트그룹,2018,2018-05-04,폐지사유: 감사의견거절(감사범위 제한),True
101060,00000000,SBS미디어홀딩스,2022,2022-01-18,폐지사유: 해산 사유 발생,True
101970,00000000,우양에이치씨,2015,2015-03-17,폐지사유: 발행한 어음 또는 수표가 주거래은행에 의하여 최종부도로 결정되거나 거래은행에 의한 거래 정지,True
102210,00000000,에이치디,2021,2021-04-19,폐지사유: 기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,True
103130,00000000,웅진에너지,2020,2020-06-01,폐지사유: 감사의견 의견거절 2년 계속,True
103650,00000000,에이치앤아이,2016,2016-07-14,폐지사유: 최종부도 발생,True
104110,00000000,신성이엔지,2017,2017-01-02,폐지사유: 해산 사유 발생,True
104120,00000000,신성에프에이,2017,2017-01-02,폐지사유: 해산 사유 발생,True
110570,00000000,넥솔론,2017,2017-04-17,폐지사유: 자본전액잠식,True
110660,00000000,세신버팔로,2018,2018-10-11,폐지사유: 지정자문인 선임계약 해지 후 30일이내 미체결(2018.9.20限),True
111610,00000000,승화프리텍,2016,2016-01-25,"폐지사유: 기업의 계속성, 경영의 투명성 또는 그 밖에 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정",True
111820,00000000,지유온,2021,2021-09-30,폐지사유: 기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,True
112240,00000000,에스에프씨,2020,2020-06-30,폐지사유: 감사의견 거절(감사범위 제한),True
114120,00000000,크루셜텍,2024,2024-02-15,폐지사유: 기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,True
114570,00000000,지스마트글로벌,2022,2022-02-23,폐지사유: 감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),True
117930,00000000,한진해운,2017,2017-03-07,폐지사유: 해산 사유 발생,True
120780,00000000,전우정밀,2021,2021-05-06,폐지사유: 분산요건 미달,True
121550,00000000,코크렙15호,2015,2015-10-16,폐지사유: 매출액 미달 2년 계속,True
122800,00000000,썬텍,2020,2020-02-12,폐지사유: 기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,True
123260,00000000,파인넥스,2020,2020-04-10,"폐지사유: 제28조제1항제9호에 따라 관리종목 지정 후 공시규정 제19조제1항에 따른 사업보고서 법정제출기한 내 미제출, 최근 2년간 3회 이상 공시규정 제19조제1항의 규정에 의한 사업보고서, 반기보고서 또는 분기보고서 법정제출기한 내 미제출",True
126870,00000000,뉴로스,2022,2022-10-26,폐지사유: 감사의견 거절(감사범위 제한 및 계속기업 존속능력 불확실성),True
127160,00000000,매직마이크로,2022,2022-09-22,폐지사유: 감사의견 거절(감사범위 제한 및 계속기업 존속능력 불확실성),True
134780,00000000,화진,2020,2020-07-02,폐지사유: 감사의견거절(감사범위제한),True
135160,00000000,무송지오씨,2023,2023-05-02,폐지사유: 발행한 어음 또는 수표가 주거래은행에 의하여 최종부도로 결정되거나 거래은행에 의한 거래정지,True
