기업명,종목코드,상폐일,폐지사유
엘아이에스,138690,2023-12-06,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정
DB금융스팩9호,367360,2023-11-24,피흡수합병(스팩소멸합병)
바다로19호,155900,2023-11-24,신청에 의한 상장폐지
에코바이브,015540,2023-11-07,감사의견 의견거절 2년 계속
IBKS제17호스팩,405350,2023-11-03,피흡수합병(스팩소멸합병)
케이비제23호스팩,440200,2023-11-03,피흡수합병(스팩소멸합병)
유투바이오,221800,2023-11-02,코스닥시장 이전상장
루트로닉,085370,2023-10-27,타법인의 완전자회사로 편입
유한코스메틱,069110,2023-10-20,감사의견 거절(감사범위 제한)
에스엘에스바이오,246250,2023-10-20,코스닥시장 이전상장
에이치엠씨제5호스팩,353060,2023-09-22,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소
하나금융20호스팩,400560,2023-09-19,피흡수합병(스팩소멸합병)
신한제7호스팩,366330,2023-09-18,피흡수합병(스팩소멸합병)
피엔아이컴퍼니,242350,2023-09-18,지정자문인 선임계약 해지 후 30일 이내 미체결(2023.9.4 限)
유안타제8호스팩,367480,2023-09-08,피흡수합병(스팩소멸합병)
한국제10호스팩,409570,2023-08-31,피흡수합병(스팩소멸합병)
우리종금,010050,2023-08-28,지주회사(최대주주등)의 완전자회사화 등
우리벤처파트너스,298870,2023-08-28,타법인의 완전자회사로 편입
캔버스엔,210120,2023-08-17,코스닥시장 이전상장
오스템임플란트,048260,2023-08-14,상장폐지 신청('23.06.28)
데이드림엔터,348840,2023-08-10,상장폐지 신청
NICE평가정보,030190,2023-08-08,유가증권시장 상장
지나인제약,078650,2023-07-21,감사의견 거절(감사범위 제한 및 계속기업가정 불확실성)
DB금융스팩8호,367340,2023-07-17,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소
멜파스,096640,2023-07-17,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정
아이티센피엔에스,232830,2023-06-29,코스닥시장 이전상장
비에이치,090460,2023-06-20,유가증권시장 상장
프로티아,303360,2023-06-16,코스닥시장 이전상장
라이프사이언스테크놀로지,285770,2023-06-12,외부감사인의 감사의견 의견거절
바이오시네틱스,281310,2023-06-12,외부감사인의 감사의견 의견거절
하나금융19호스팩,388220,2023-05-23,피흡수합병(스팩소멸합병)
미래에셋대우스팩 5호,353490,2023-05-17,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소
엠피씨플러스,050540,2023-05-08,감사의견 거절(감사범위 제한)
청광건설,140290,2023-05-08,상장폐지 신청
무송지오씨,135160,2023-05-02,발행한 어음 또는 수표가 주거래은행에 의하여 최종부도로 결정되거나 거래은행에 의한 거래정지
엔에이치스팩22호,396770,2023-04-28,피흡수합병(스팩소멸합병)
토마토시스템,393210,2023-04-27,코스닥시장 이전상장
메리츠증권,008560,2023-04-25,지주회사(최대주주등)의 완전자회사화 등
비엔디생활건강,215050,2023-04-21,감사의견 의견거절(감사범위제한)
대신밸런스제12호스팩,426670,2023-04-20,피흡수합병(스팩소멸합병)
SK오션플랜트,100090,2023-04-19,유가증권시장 상장
명진홀딩스,267060,2023-04-18,지정자문인 선임계약 해지 후 30일 이내 미체결(2023.4.4 限)
제이웨이,058420,2023-04-14,감사의견 거절(감사범위 제한 및 계속기업가정 불확실성)
다이오진,271850,2023-04-12,지정자문인 선임계약 해지 후 30일 이내 미체결(2023.3.29 限)
앙츠,267810,2023-04-04,지정자문인 선임계약 해지 후 30일 이내 미체결(2023.3.21 限)
코원플레이,056000,2023-03-30,감사의견 거절(감사범위 제한 및 계속기업가정 불확실성)
대신밸런스제10호스팩,387310,2023-03-16,피흡수합병(스팩소멸합병)
에이치엠씨제4호스팩,353070,2023-03-10,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소
대신밸런스제11호스팩,397500,2023-03-09,피흡수합병(스팩소멸합병)
하나금융16호스팩,343510,2023-03-02,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소
메리츠화재,000060,2023-02-21,지주회사(최대주주등)의 완전자회사화 등
IBKS제13호스팩,351340,2023-02-21,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소
이노진,344860,2023-02-20,코스닥시장 이전상장
신영스팩6호,344050,2023-02-17,피흡수합병(스팩소멸합병)
베트남개발1,096300,2023-02-02,해산 사유 발생
유네코,064510,2023-01-17,감사의견 거절(감사범위 제한 및 계속기업 존속능력 불확실성)
케이비제20호스팩,342550,2022-12-29,피흡수합병(스팩소멸합병)
오션스톤,329020,2022-12-27,지정자문인 선임계약 해지 후 30일 이내 미체결(2022.12.13 限)
이베스트스팩5호,349720,2022-12-26,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소
하나금융15호스팩,341160,2022-12-23,피흡수합병(스팩소멸합병)
켐온,217600,2022-12-16,피흡수합병
코리아센터,290510,2022-12-16,피흡수합병
유안타제7호스팩,367460,2022-12-08,피흡수합병(스팩소멸합병)
원익피앤이,131390,2022-11-29,피흡수합병
유비온,084440,2022-11-18,코스닥시장 이전상장
참존글로벌,158310,2022-11-09,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정
레드로버,060300,2022-11-04,기업의 계속성 및 경영의 투명성 등을 종합적을 고려하여 상장폐지기준에 해당한다고 결정
LX세미콘,108320,2022-11-03,유가증권시장 상장
케이프이에스제4호,347140,2022-10-31,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소
뉴로스,126870,2022-10-26,감사의견 거절(감사범위 제한 및 계속기업 존속능력 불확실성)
SK5호스팩,337450,2022-10-18,피흡수합병(스팩소멸합병)
SK6호스팩,340350,2022-10-18,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소
연이비앤티,090740,2022-10-17,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정
테라셈,182690,2022-10-17,감사의견 거절(감사범위 제한)
한일네트웍스,046110,2022-10-05,상장폐지 신청('22.08.31)
선바이오,067370,2022-10-05,코스닥시장 이전상장
하나금융14호스팩,332710,2022-09-26,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동사유 미해소
매직마이크로,127160,2022-09-22,감사의견 거절(감사범위 제한 및 계속기업 존속능력 불확실성)
소리바다,053110,2022-09-07,감사의견 거절(감사범위 제한)
하이제5호스팩,340120,2022-07-28,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동사유 미해소
롯데푸드,002270,2022-07-20,해산 사유 발생
원텍,216280,2022-06-30,피흡수합병
에이치엔티,176440,2022-06-27,기업의 계속성 및 경영의 투명성 등을 종합적을 고려하여 상장폐지기준에 해당한다고 결정
비큐AI,148780,2022-06-20,코스닥시장 이전상장
티티씨디펜스,309900,2022-06-16,외부감사인의 감사의견 의견거절
맘스터치,220630,2022-05-31,상장폐지 신청('22.03.30)
에스에이치엔엘,050320,2022-05-31,감사의견 거절
세영디앤씨,052190,2022-05-27,감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성)
SNK,950180,2022-05-18,상장폐지 신청('22.04.14)
인터코스,240340,2022-05-17,외부감사인의 감사의견 의견거절
케이비제19호스팩,330990,2022-05-09,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동사유 미해소
미애부,225850,2022-04-27,감사의견 의견거절(감사범위제한 및 계속기업 존속불확실성)
엠앤씨생명과학,225860,2022-04-27,감사의견 의견거절(감사범위제한 및 계속기업 존속불확실성)
현진소재,053660,2022-04-26,감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성)
스포츠서울,039670,2022-04-20,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정
넥슨지티,041140,2022-04-15,피흡수합병
이십일스토어,270020,2022-04-14,사업보고서 법정제출기한('22.3.31限) 내 미제출
